continent,country_name,iso3c,taxa,year,n_by_country_taxa,n_by_country,centroid_lon,centroid_lat
Europe,Slovakia,SVK,Amphibian,2003,4,108,19.5,48.6666666667
Americas,Turks & Caicos Islands,TCA,Fish,2003,4,150,-71.95,21.902
Asia,Nepal,NPL,Coral,2003,7,35,83.939,28.253
Asia,Laos,LAO,Bird,2003,4,76,102.471,19.905
Oceania,Vanuatu,VUT,Reptile,2003,3,219,167,-16
Oceania,Vanuatu,VUT,Amphibian,2003,1,219,167,-16
Europe,Spain,ESP,Shell,2003,7,3208,-3.649,40.227
Europe,Spain,ESP,Coral,2003,1,3208,-3.649,40.227
Africa,Tanzania,TZA,Coral,2003,3,5317,35,-6
Asia,Turkey,TUR,Bird,2003,3,782,35.179,39.061
Africa,Rwanda,RWA,Shell,2003,2,21,30,-2
Africa,Rwanda,RWA,Coral,2003,2,21,30,-2
Americas,Canada,CAN,Annelid,2003,18,45300,-95,60
Europe,Austria,AUT,Crustacean,2003,6,514,13.3333333333,47.3333333333
Americas,Guatemala,GTM,Bird,2003,18,255,-90.25,15.5
Americas,Cayman Islands,CYM,Reptile,2003,8,23,-81.198,19.314
Americas,Belize,BLZ,Reptile,2003,4,264,-88.602,17.219
Europe,Italy,ITA,Insect,2003,10,19444,10.44,44.931
Europe,Ukraine,UKR,Mammal,2003,3,124,32,49
Asia,Jordan,JOR,Reptile,2003,2,13,36,31
Africa,Congo - Brazzaville,COG,Bird,2003,1,32,15,-1
Europe,Austria,AUT,Insect,2003,9,514,13.3333333333,47.3333333333
Europe,Russia,RUS,Crustacean,2003,7,747,100,60
Oceania,Papua New Guinea,PNG,Shell,2003,5,111,143.459,-5.949
Oceania,Papua New Guinea,PNG,Mammal,2003,1,111,143.459,-5.949
Oceania,Papua New Guinea,PNG,Amphibian,2003,5,111,143.459,-5.949
Oceania,Australia,AUS,Echinoderms,2003,4,1447,133,-27
Americas,Venezuela,VEN,Mammal,2003,3,78,-66.166,7.125
Africa,Madagascar,MDG,Crustacean,2003,1,899,47,-20
Africa,Côte d’Ivoire,CIV,Mammal,2003,4,19,-5.556,7.632
Africa,Burundi,BDI,Reptile,2003,2,20,30,-3.5
