SPEC_CODE,C,O,F,Genus,Species,Subspecies,Common.Specific.1,Common.General.1,Taxa
BUHB,A,AU,BF,BUFO,HEMIOPHRYS,BAXTERI,WYOMING,TOAD,AMPHIBIAN
BUHO,A,AU,BF,BUFO,HOUSTONENSIS, ,HOUSTON,TOAD,AMPHIBIAN
BUMC,A,AU,BF,BUFO,MICROSCAPHUS,CALIFORNICUS,ARROYO SOUTHWEST,TOAD,AMPHIBIAN
BUME,A,AU,BF,BUFO,MELANOSTICTUS, ,BLACK-SPINED,TOAD,AMPHIBIAN
BUPE,A,AU,BF,BUFO,PERIGLENES, ,MONTE VERDE GOLDEN,TOAD,AMPHIBIAN
BUPU,A,AU,BF,BUFO,PUNCTATUS,,BAIRD'S SPOTTED,TOAD,AMPHIBIAN
BUPY,A,AU,BF,BUFO,PYGMAEUS,,RIO PARAHYBA,TOAD,AMPHIBIAN
BURE,A,AU,BF,BUFO,RETIFORMIS, ,SONORAN GREEN,TOAD,AMPHIBIAN
BUSP,A,AU,BF,BUFO,SPECIOSUS,,TEXAS,TOAD,AMPHIBIAN
BUSU,A,AU,BF,BUFO,SUPERCILIARIS, ,CAMEROON,TOAD,AMPHIBIAN
BUSU,A,AU,BF,BUFO,CHEVALIERI,,BUFO,SUPERCILIARIS,AMPHIBIAN
BUSU,A,AU,BF,BUFO,LAEVISSIMUS,,BUFO,SUPERCILIARIS,AMPHIBIAN
BUVA,A,AU,BF,BUFO,VALLICEPS,,GULF COAST,TOAD,AMPHIBIAN
BUVI,A,AU,BF,BUFO,VIRIDIS, ,EUROPEAN GREEN,TOAD,AMPHIBIAN
BUWO,A,AU,BF,BUFO,WOODHOUSII,,WOODHOUSE'S,TOAD,AMPHIBIAN
CAEC,A,GY,CL,CAECILIIDAE, , ,(FAMILY),CAECILIAN,AMPHIBIAN
CAVO,A,GY,CL,CAECILIA,VOLCANI,,COCLE,CAECILIAN,AMPHIBIAN
CBEC,A,AU,RD,CONRAUA,BECCARII,,FILFIL SLIPPERY,FROG,AMPHIBIAN
CCI?,A,GY,CL,CAECILIA,SPECIES,,,CAECILIAN,AMPHIBIAN
CECL,A,AU,LE,CERATOPHRYS,CALCARATA, ,COLOMBIAN HORNED,FROG,AMPHIBIAN
CECW,A,AU,LE,CERATOPHRYS,CRANWELLI, ,CRANWELL'S HORNED,FROG,AMPHIBIAN
CEGU,A,AU,RD,CERATOBATRACHUS,GUENTHERI, ,GUNTHER'S TRIANGLE,FROG,AMPHIBIAN
CEIL,A,AU,CE,CENTROLENE,ILEX,,LIMON GIANT GLASS,FROG,AMPHIBIAN
CENP,A,AU,CE,CENTROLENE,PROSOBLEPON,,NICAR GIANT GLASS,FROG,AMPHIBIAN
CEON,A,AU,LE,CERATOPHRYS,ORNATA, ,ORNATE HORNED,FROG,AMPHIBIAN
CERA,A,AU,LE,CERATOPHRYS,SPECIES, ,HORNED,FROG,AMPHIBIAN
CFG?,A,AU,CE,COCHRANELLA,SPECIES,,COCHRAN,FROG,AMPHIBIAN
CGOL,A,AU,RD,CONRAUA,GOLIATH, ,GOLIATH,FROG,AMPHIBIAN
CGOL,A,AU,RD,GIGANTORANA,GOLIATH, ,CONRAUA,GOLIATH,AMPHIBIAN
CGOL,A,AU,RD,RANA,GOLIATH, ,CONRAUA,GOLIATH,AMPHIBIAN
CGRN,A,AU,CE,COCHRANELLA,GRANULOSA,,GRAINY COCHRAN,FROG,AMPHIBIAN
CHIP,A,AU,RH,CHIROMANTIS,PETERSII, ,PETER'S F-NST TREE,FROG,AMPHIBIAN
CHIV,A,AU,RH,CHIRIXALUS,VITTATUS,,STRIPED ASIAN TREE,FROG,AMPHIBIAN
CHIX,A,AU,RH,CHIROMANTIS,XERAPELINA, ,AFRICAN GRAY TREE,FROG,AMPHIBIAN
